Name	Length	GC content	Quality Mean	Quality Median	Quality Stddev
@SRR034130.34 FI5LW4G02R1UZK length=128	71	0.471428571428571	36.5211267605634	40	8.02292991534635
@SRR034130.35 FI5LW4G02P2X4R length=454	444	0.538288288288288	37.5045045045045	40	5.22474382730175
@SRR034130.36 FI5LW4G02QA0KO length=471	465	0.470967741935484	31.2731182795699	34	8.58606453877428
@SRR034130.37 FI5LW4G02SEHTM length=377	375	0.410666666666667	37.3573333333333	40	5.54855025949795
@SRR034130.38 FI5LW4G02P8M9C length=493	491	0.425661914460285	34.071283095723	40	8.83459169351486
@SRR034130.40 FI5LW4G02TT4KB length=384	379	0.41688654353562	32.844327176781	37	8.33838185224426
@SRR034130.42 FI5LW4G02RGPDF length=387	384	0.356770833333333	36.0625	40	6.15095144309825
@SRR034130.43 FI5LW4G02QI2J0 length=523	410	0.359493670886076	20.7146341463415	17	11.3892683364607
@SRR034130.44 FI5LW4G02POPDU length=407	405	0.306172839506173	34.9333333333333	40	7.7263212206043
@SRR034130.45 FI5LW4G02QROMG length=377	371	0.514824797843666	36.9137466307278	40	6.37334819982175
@SRR034130.46 FI5LW4G02QOIKO length=454	450	0.517777777777778	37.2444444444444	40	5.75697719632449
@SRR034130.47 FI5LW4G02S2WEK length=416	415	0.334939759036145	35.0674698795181	40	7.47752039220744
@SRR034130.48 FI5LW4G02P05YF length=387	385	0.371428571428571	27.9272727272727	29	9.51889070758932
@SRR034130.49 FI5LW4G02P1C8Q length=425	421	0.444180522565321	38.1377672209026	40	4.94590005800563
@SRR034130.51 FI5LW4G02QLFSJ length=60	56	0.446428571428571	28.9464285714286	31	9.42804258650686
@SRR034130.52 FI5LW4G02RWETC length=397	396	0.512626262626263	36.8636363636364	40	5.37142848398571
@SRR034130.53 FI5LW4G02TPM3T length=381	375	0.373333333333333	21.536	18	10.0819190092507
@SRR034130.55 FI5LW4G02RQ199 length=371	365	0.520547945205479	22.7150684931507	18	10.9208399330911
@SRR034130.56 FI5LW4G02QA9JQ length=414	409	0.43520782396088	23.1662591687042	21	8.9640751380009
@SRR034130.57 FI5LW4G02POJ01 length=398	380	0.452631578947368	33.4131578947368	38	8.29313449252761
@SRR034130.58 FI5LW4G02Q3PBY length=391	379	0.467018469656992	37.4168865435356	40	5.01588269097607
@SRR034130.59 FI5LW4G02R8CLE length=209	170	0.467948717948718	23.9294117647059	22	12.3836963206942
@SRR034130.60 FI5LW4G02P4MHE length=475	459	0.357298474945534	33.8257080610022	38	7.82282750858
@SRR034130.61 FI5LW4G02PYHRY length=540	405	0.506265664160401	25.0592592592593	27	10.535721624218
@SRR034130.65 FI5LW4G02R1LD7 length=513	507	0.272189349112426	33.7988165680473	38	7.60349920613848
@SRR034130.67 FI5LW4G02SG7P8 length=418	416	0.355769230769231	33.4543269230769	39	8.7129777477406
@SRR034130.71 FI5LW4G02TXV73 length=400	399	0.596491228070175	35.6441102756892	40	6.79851145013066
@SRR034130.73 FI5LW4G02Q81Y3 length=119	57	0.56140350877193	35.9824561403509	40	7.18005975917773
@SRR034130.76 FI5LW4G02TL4MF length=448	445	0.292134831460674	36.5483146067416	40	5.84796323131855
@SRR034130.77 FI5LW4G02PRID4 length=487	486	0.407407407407407	34.2283950617284	40	8.34731244459728
@SRR034130.78 FI5LW4G02P8MRB length=508	493	0.336713995943205	21.5070993914807	21	7.97445427856441
