Name	Length	GC content	Quality Mean	Quality Median	Quality Stddev
@SRR034130.245 FI5LW4G02TGOSY length=444	420	0.245238095238095	33.7690476190476	39	8.96700363678251
@SRR034130.246 FI5LW4G02T040R length=390	269	0.368029739776952	29.8252788104089	31	7.72203382267534
@SRR034130.253 FI5LW4G02TM6HU length=403	389	0.305912596401028	33.879177377892	38	7.74818258317184
@SRR034130.254 FI5LW4G02Q5ALD length=394	386	0.626943005181347	37.1761658031088	40	5.49758405625188
@SRR034130.255 FI5LW4G02RLCFH length=497	422	0.298578199052133	33.8625592417062	38	7.81314265742781
@SRR034130.257 FI5LW4G02R31VJ length=414	387	0.286821705426357	33.3617571059432	39	8.35782559748956
@SRR034130.259 FI5LW4G02SPXLU length=442	422	0.376777251184834	34.9620853080569	40	8.0150383247134
@SRR034130.261 FI5LW4G02SPAKN length=535	246	0.479674796747967	29.739837398374	32	7.82339495007642
@SRR034130.262 FI5LW4G02PND30 length=435	363	0.523415977961432	32.4490358126722	36	8.41463588838359
@SRR034130.264 FI5LW4G02SS2R0 length=393	368	0.407608695652174	31.9211956521739	36	9.34105739918736
@SRR034130.265 FI5LW4G02PK63I length=406	391	0.59079283887468	33.1687979539642	38	8.36611899347117
@SRR034130.266 FI5LW4G02SP219 length=383	360	0.530555555555556	35.8694444444444	40	7.77268696418071
@SRR034130.267 FI5LW4G02PURVE length=479	451	0.430155210643016	35.219512195122	40	7.57470473097913
@SRR034130.268 FI5LW4G02P2OD8 length=353	347	0.325648414985591	26.2593659942363	26	9.72046542876361
@SRR034130.269 FI5LW4G02P8BE9 length=391	257	0.455252918287938	26.3424124513619	26	9.75838335585585
@SRR034130.271 FI5LW4G02P4ZIQ length=378	374	0.377005347593583	34.8609625668449	39	7.12146060971716
@SRR034130.272 FI5LW4G02PX0ZB length=435	417	0.49400479616307	36.3860911270983	40	5.64554779665962
@SRR034130.273 FI5LW4G02SG1JU length=464	450	0.375555555555556	36.5355555555556	40	6.06937089439257
@SRR034130.274 FI5LW4G02Q9OD6 length=389	371	0.342318059299191	36.533692722372	40	6.72396457234795
@SRR034130.275 FI5LW4G02P20U6 length=470	356	0.294943820224719	34.4943820224719	38	7.25607831922826
@SRR034130.276 FI5LW4G02QJOL8 length=459	308	0.275974025974026	30.7402597402597	33	8.96813410070768
@SRR034130.277 FI5LW4G02RHIB2 length=428	408	0.507352941176471	31.7524509803922	34	8.52514672343344
@SRR034130.279 FI5LW4G02P069M length=441	421	0.391923990498812	28.7363420427553	31	8.1034581046709
@SRR034130.280 FI5LW4G02SV1VV length=336	324	0.37888198757764	27.179012345679	27	9.96303031287806
@SRR034130.281 FI5LW4G02R8CJ1 length=414	392	0.535714285714286	36.0408163265306	39	5.93385254126887
@SRR034130.285 FI5LW4G02TIL2N length=466	423	0.302600472813239	31.1583924349882	34	9.53397363819418
@SRR034130.286 FI5LW4G02TDVH7 length=395	383	0.39686684073107	37.8250652741514	40	5.04360031314584
@SRR034130.288 FI5LW4G02Q8PHY length=406	404	0.215346534653465	35.279702970297	40	7.10980757005888
@SRR034130.292 FI5LW4G02PLWCD length=498	287	0.56794425087108	24.6585365853659	22	10.0377846623571
@SRR034130.293 FI5LW4G02R0SYF length=458	431	0.443155452436195	35.4060324825986	40	7.59405280091785
@SRR034130.294 FI5LW4G02P6JDT length=476	354	0.596045197740113	35.6468926553672	39	6.10829130049262
@SRR034130.301 FI5LW4G02PU7Z2 length=479	455	0.49010989010989	37.8637362637363	40	4.39251256416248
@SRR034130.303 FI5LW4G02Q5WMX length=375	374	0.454545454545455	35.0106951871658	40	8.29676722780079
@SRR034130.304 FI5LW4G02TEQ7X length=250	236	0.555084745762712	39.5	40	1.83465458514907
@SRR034130.305 FI5LW4G02T1BL8 length=414	394	0.487309644670051	36.3477157360406	40	6.16139234127405
@SRR034130.308 FI5LW4G02SG7QJ length=486	464	0.463362068965517	35.9633620689655	40	6.44102287785996
@SRR034130.312 FI5LW4G02QEUTE length=459	427	0.65807962529274	35.9578454332553	40	7.16787977795836
@SRR034130.314 FI5LW4G02QYM1Y length=391	378	0.404761904761905	37.3783068783069	40	6.12619329931638
@SRR034130.315 FI5LW4G02Q88IG length=425	395	0.468193384223919	35.9848101265823	40	7.23989035393168
@SRR034130.317 FI5LW4G02POLYJ length=412	396	0.315656565656566	36.3106060606061	40	6.86742364208458
@SRR034130.318 FI5LW4G02T3U8X length=426	400	0.295	35.7325	40	6.2304083912537
@SRR034130.319 FI5LW4G02TV75D length=489	352	0.411931818181818	33.5284090909091	38	8.44012191029596
@SRR034130.320 FI5LW4G02PZ5LY length=449	423	0.543735224586288	35.2198581560284	40	7.36080197173084
@SRR034130.321 FI5LW4G02QLIYP length=359	345	0.327536231884058	34.7391304347826	40	7.87521165074208
@SRR034130.323 FI5LW4G02RI2IU length=403	383	0.498694516971279	38.1958224543081	40	4.59920130669386
@SRR034130.325 FI5LW4G02P2SDJ length=414	389	0.555269922879177	24.8046272493573	25	7.21023607842177
@SRR034130.327 FI5LW4G02RIJH8 length=394	383	0.535248041775457	38.5404699738903	40	3.65570726263259
@SRR034130.329 FI5LW4G02TZDVF length=493	423	0.42080378250591	30.6879432624113	34	9.8537659111552
@SRR034130.332 FI5LW4G02S6BJ1 length=507	423	0.286052009456265	33.9621749408983	38	7.66839312231239
@SRR034130.333 FI5LW4G02TEHMH length=486	270	0.369402985074627	32.8777777777778	37	8.18943163976621
@SRR034130.334 FI5LW4G02QO1KR length=474	470	0.338297872340426	32.663829787234	36	9.11533363421638
@SRR034130.335 FI5LW4G02TJEQY length=430	381	0.398950131233596	27.6246719160105	28	8.54081964573805
@SRR034130.336 FI5LW4G02Q5WFI length=504	307	0.371335504885993	23.9120521172638	24	8.00706905961098
@SRR034130.339 FI5LW4G02QFQ0Y length=366	362	0.55524861878453	36.8922651933702	40	6.56710478177378
@SRR034130.340 FI5LW4G02P71GW length=383	382	0.413612565445026	35.9083769633508	39.5	6.07386579147098
@SRR034130.341 FI5LW4G02T0VRW length=386	361	0.551246537396122	35.9584487534626	40	6.94469756386961
@SRR034130.342 FI5LW4G02SXZBL length=447	423	0.432624113475177	36.4893617021277	40	5.87179420000016
@SRR034130.343 FI5LW4G02PWPP1 length=541	416	0.259615384615385	29.0096153846154	31	9.60446200753194
@SRR034130.344 FI5LW4G02P30I6 length=408	301	0.318936877076412	25.5514950166113	27	6.89841813443307
@SRR034130.345 FI5LW4G02S81J2 length=429	404	0.514851485148515	36.4257425742574	40	6.35406364127626
@SRR034130.346 FI5LW4G02RXJ4O length=544	354	0.46045197740113	25.4943502824859	25	9.78269396100812
@SRR034130.347 FI5LW4G02THDZV length=501	423	0.385342789598109	31.8345153664303	36	9.3654624250589
@SRR034130.348 FI5LW4G02QSWHV length=462	438	0.349315068493151	33.175799086758	38	8.89134300773963
@SRR034130.349 FI5LW4G02T2QF6 length=489	361	0.512465373961219	30.4349030470914	32	7.49828132559696
@SRR034130.350 FI5LW4G02QGMG8 length=381	357	0.341736694677871	33.0168067226891	39	9.16574888897166
@SRR034130.352 FI5LW4G02P64KH length=452	403	0.39454094292804	26.682382133995	28	9.76812576078369
@SRR034130.353 FI5LW4G02TSVYY length=286	265	0.535849056603774	33.9396226415094	38	7.89347495256418
@SRR034130.355 FI5LW4G02SXPZ4 length=480	329	0.249240121580547	24.2006079027356	23	9.25136111910874
@SRR034130.356 FI5LW4G02SA5Q0 length=465	404	0.586633663366337	28	28	8.91787732479814
@SRR034130.357 FI5LW4G02PPKNT length=441	419	0.22673031026253	34.5178997613365	39	7.82228073909525
@SRR034130.359 FI5LW4G02QHJIP length=472	423	0.283687943262411	31.1323877068558	34	9.05572352965436
@SRR034130.360 FI5LW4G02RZ0IM length=350	334	0.520958083832335	36.4910179640719	40	6.17353478109341
@SRR034130.361 FI5LW4G02QQMD0 length=417	397	0.476070528967254	38.367758186398	40	4.23319831113292
@SRR034130.363 FI5LW4G02PTBCT length=549	420	0.428571428571429	33.0190476190476	38	8.53266188828991
@SRR034130.364 FI5LW4G02TOUNA length=474	360	0.477777777777778	35.5805555555556	40	6.76540105988428
@SRR034130.366 FI5LW4G02PNQXW length=407	393	0.38676844783715	36.412213740458	40	6.93946517929203
@SRR034130.368 FI5LW4G02TYBSZ length=383	231	0.432900432900433	30.6060606060606	33	8.08303416856714
@SRR034130.369 FI5LW4G02QADQM length=552	422	0.324644549763033	35.936018957346	40	5.76731566301729
@SRR034130.371 FI5LW4G02QZLUF length=454	399	0.406015037593985	26.9899749373434	28	9.8059001697995
@SRR034130.374 FI5LW4G02QHSP5 length=478	408	0.397058823529412	34.7426470588235	40	8.18609985363612
@SRR034130.375 FI5LW4G02SYB33 length=443	423	0.41371158392435	34.6217494089835	39	7.42601420546106
@SRR034130.377 FI5LW4G02PLY78 length=406	386	0.55440414507772	39.0751295336788	40	3.11378220072745
@SRR034130.378 FI5LW4G02TDIUL length=424	360	0.458333333333333	35.1166666666667	40	7.99636059278251
@SRR034130.381 FI5LW4G02R52GW length=422	410	0.48780487804878	37.5707317073171	40	5.08231719971826
@SRR034130.382 FI5LW4G02TLB05 length=440	421	0.437054631828979	36.8646080760095	40	6.33307317642349
@SRR034130.383 FI5LW4G02QLV4D length=363	339	0.286135693215339	37.5634218289086	40	4.78576118814305
@SRR034130.384 FI5LW4G02RTR33 length=417	377	0.551724137931034	36.9575596816976	40	5.70631438112573
